Linea_id,Casa,Cantidad_asignada,Costo_asignado,Metodo,Confianza,Justificacion
1433,Casa 1,0.5,134.515,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1433,Casa 2,3.5,941.6049999999999,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1465,Casa 2,10.0,2637.2000000000003,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1495,Casa 2,6.0,1582.3200000000002,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1507,Casa 2,1.0,289.38000000000005,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1507,Casa 3,4.0,1157.5200000000002,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1510,Casa 3,2.0,555.76,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1581,Casa 3,5.0,1513.25,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1730,Casa 3,1.0,5792.23,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1815,Casa 3,1.0,1502.65,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1816,Casa 3,1.0,1045.13,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1860,Casa 3,1.0,2767.26,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1973,Casa 3,5.5,2287.6150000000002,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1973,Casa 4,10.5,4367.265,Reconstrucción analítica,Media,Balance receta + etapa + fecha
2180,Casa 4,6.0,2697.36,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
26,Casa 1,0.25,658.185,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
26,Casa 2,0.25,658.185,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
26,Casa 3,0.25,658.185,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
26,Casa 4,0.25,658.185,Reconstrucción analítica,Media,Balance receta + etapa + fecha
27,Casa 1,0.25,326.3275,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
27,Casa 2,0.25,326.3275,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
