Material_homologado,Familia,Cantidad_base,Costo_base,Estado
"Ct Enm Mp 1"" X 25M",Otros insumos,1.75,1324.12,Reconstruido/observado
Cubo 10 Mm Esp 1/2 Berent,Otros insumos,0.25,322.1425,Reconstruido/observado
Cubo 13Mm Esp 1/2 Berent,Otros insumos,0.25,331.8575,Reconstruido/observado
Cubo 16 Mm Esp 1/2 Berent,Otros insumos,0.25,353.9825,Reconstruido/observado
Cubo Magnetico 3/8,Otros insumos,0.25,303.76,Reconstruido/observado
Cubo Magnetico Tec,Otros insumos,0.5,633.185,Reconstruido/observado
"Cubo Techo 3/8""",Otros insumos,0.25,100.0,Reconstruido/observado
Cubre Boc Hipoal 5,Otros insumos,0.5,428.32,Reconstruido/observado
"Cuchara Albanil 9""",Otros insumos,0.25,605.53,Reconstruido/observado
Cuerda Pesca 1.0Mm,Otros insumos,0.25,425.885,Reconstruido/observado
Decor Placa Cocina,Otros insumos,0.5,361.945,Reconstruido/observado
Densglass 12 mm,Gypsum y liviano,4.75,70207.1275,Reconstruido/observado
Diana Quesito Pequeno,Otros insumos,0.25,105.0875,Reconstruido/observado
Dis Flap 4-1/2 G 8,Otros insumos,0.25,190.265,Reconstruido/observado
Dnflex 230 Negro 3,Otros insumos,0.5,1665.93,Reconstruido/observado
Doble Bl Aguila Su,Otros insumos,0.75,499.1175,Reconstruido/observado
Ducha,Sanitarios,3.0,140232.74,Pendiente proyectado desde Casas 1–3
Duretan / sellador juntas,Selladores,3.75,21007.957499999997,Reconstruido/observado
EPP / protección,Seguridad obra,3.0,1245.1200000000001,Reconstruido/observado
Elec #1 4 11 2 2X6,Otros insumos,0.25,2721.0175,Reconstruido/observado
Empaque De Cera Co,Otros insumos,1.0,1101.77,Reconstruido/observado
Empaque De Cera Se,Otros insumos,0.25,202.655,Reconstruido/observado
Empaque Wc,Otros insumos,0.25,110.62,Reconstruido/observado
Enchufe / apagador,Electricidad,10.5,55023.465,Reconstruido/observado
Envase 1 4G,Otros insumos,0.25,327.4325,Reconstruido/observado
Epoxi Mil 98 Grs,Otros insumos,0.25,733.185,Reconstruido/observado
Epoximil Loctite 98 Grs // 201-J,Otros insumos,0.25,697.5675,Reconstruido/observado
Escoba Jumbo Eterna,Otros insumos,0.25,953.54,Reconstruido/observado
Escoba Super Diana,Otros insumos,0.25,519.8025,Reconstruido/observado
Escoba Superior No,Otros insumos,0.5,1354.95,Reconstruido/observado
Escobon Barrendero,Otros insumos,0.25,1372.5675,Reconstruido/observado
"Escuadra 4""X5"" Bl",Otros insumos,0.5,295.575,Reconstruido/observado
Espander Plastico #8 Blister 10Und,Otros insumos,0.25,51.99,Reconstruido/observado
Espatul Mgo Plast,Otros insumos,0.25,184.07,Reconstruido/observado
Esponja Expandible,Otros insumos,0.25,262.1675,Reconstruido/observado
Esponja P/Lavado Aut,Otros insumos,0.5,442.48,Reconstruido/observado
Esponja Para Coche,Otros insumos,0.25,392.7,Reconstruido/observado
Esq Ext Can Alto C,Otros insumos,0.25,857.08,Reconstruido/observado
Esquina canoa alto caudal,Plomería pluvial,0.25,862.39,Reconstruido/observado
Esterilizador Port,Otros insumos,0.75,1028.76,Reconstruido/observado
"Estufa R 1 4X1 2""",Otros insumos,0.25,153.0975,Reconstruido/observado
"Estufa R 5 32X3 4""",Otros insumos,0.25,139.16,Reconstruido/observado
Ext 1.5M Spt 2X16,Otros insumos,0.25,279.8675,Reconstruido/observado
Ext 3M Spt 2X16 Bl,Otros insumos,0.75,1423.6725000000001,Reconstruido/observado
Ext 5M Spt 2X16 Ca,Otros insumos,0.25,661.0625,Reconstruido/observado
Extension 1.6 A 3M,Otros insumos,0.25,1130.53,Reconstruido/observado
"Extension Cubo 5"" Espiga 1/2"" Heb12051 Ingco",Otros insumos,0.25,641.5925,Reconstruido/observado
Extrac B 4 Sil 10,Otros insumos,0.25,3586.9475,Reconstruido/observado
Extractor / ventilación,Ventilación,0.5,5573.01,Reconstruido/observado
Fibra Morado 6X 9,Otros insumos,0.25,468.1425,Reconstruido/observado
Fibra Morado 6X 9.,Otros insumos,0.25,467.035,Reconstruido/observado
Fino Bco Extremo 2,Otros insumos,0.25,369.9125,Reconstruido/observado
Flete / transporte,Servicios,0.5,8584.07,Reconstruido/observado
Fragüa / boquilla,Pisos y enchapes,0.75,3606.6375000000003,Reconstruido/observado
